strategy,timeframe,range_window,vol_threshold,exit_offset,trades,filtered,wins,losses,wr,total_r,pnl
wq-vol-regime,60m,,,,0,0,0,0,0.0,0.0,0.0
wq-vol-regime,60m,,,,0,0,0,0,0.0,0.0,0.0
wq-vol-regime,60m,,,,0,0,0,0,0.0,0.0,0.0
wq-vol-regime,60m,,,,0,0,0,0,0.0,0.0,0.0
wq-vol-regime,60m,,,,0,0,0,0,0.0,0.0,0.0
wq-vol-regime,60m,,,,0,0,0,0,0.0,0.0,0.0
wq-vol-regime,60m,,,,0,0,0,0,0.0,0.0,0.0
wq-vol-regime,60m,,,,0,0,0,0,0.0,0.0,0.0
wq-vol-regime,60m,,,,0,0,0,0,0.0,0.0,0.0
wq-vol-regime,60m,,,,0,0,0,0,0.0,0.0,0.0
wq-vol-regime,60m,,,,0,0,0,0,0.0,0.0,0.0
wq-vol-regime,60m,,,,0,0,0,0,0.0,0.0,0.0
wq-vol-regime,60m,,,,0,0,0,0,0.0,0.0,0.0
wq-vol-regime,60m,,,,0,0,0,0,0.0,0.0,0.0
wq-vol-regime,60m,,,,0,0,0,0,0.0,0.0,0.0
wq-vol-regime,60m,,,,0,0,0,0,0.0,0.0,0.0
wq-vol-regime,60m,,,,0,0,0,0,0.0,0.0,0.0
wq-vol-regime,60m,,,,0,0,0,0,0.0,0.0,0.0
wq-vol-regime,60m,,,,0,0,0,0,0.0,0.0,0.0
wq-vol-regime,60m,,,,3,2,2,0,66.7,6.71,28127.0
wq-vol-regime,60m,,,,43,24,27,-3,62.8,25.47,20020.0
wq-vol-regime,60m,,,,106,57,68,-11,64.2,53.97,45408.0
wq-vol-regime,60m,,,,0,0,0,0,0.0,0.0,0.0
wq-vol-regime,60m,,,,0,0,0,0,0.0,0.0,0.0
wq-vol-regime,60m,,,,3,2,2,0,66.7,6.71,28127.0
wq-vol-regime,60m,,,,43,24,27,-3,62.8,25.47,20020.0
wq-vol-regime,60m,,,,106,57,68,-11,64.2,53.97,45408.0
wq-vol-regime,60m,,,,0,0,0,0,0.0,0.0,0.0
wq-vol-regime,60m,,,,0,0,0,0,0.0,0.0,0.0
wq-vol-regime,60m,,,,3,2,2,0,66.7,6.71,28127.0
wq-vol-regime,60m,,,,43,24,27,-3,62.8,25.47,20020.0
wq-vol-regime,60m,,,,106,57,68,-11,64.2,53.97,45408.0
wq-vol-regime,60m,,,,0,0,0,0,0.0,0.0,0.0
wq-vol-regime,60m,,,,0,0,0,0,0.0,0.0,0.0
wq-vol-regime,60m,,,,3,2,2,0,66.7,6.71,28127.0
wq-vol-regime,60m,,,,43,24,27,-3,62.8,25.47,20020.0
wq-vol-regime,60m,,,,106,57,68,-11,64.2,53.97,45408.0
wq-vol-regime,60m,,,,0,0,0,0,0.0,0.0,0.0
wq-vol-regime,60m,,,,0,0,0,0,0.0,0.0,0.0
wq-vol-regime,60m,,,,3,2,2,0,66.7,6.71,28127.0
wq-vol-regime,60m,,,,43,24,27,-3,62.8,25.47,20020.0
wq-vol-regime,60m,,,,106,57,68,-11,64.2,53.97,45408.0
wq-vol-regime,60m,,,,0,0,0,0,0.0,0.0,0.0
wq-vol-regime,60m,,,,0,0,0,0,0.0,0.0,0.0
wq-vol-regime,60m,,,,3,2,2,0,66.7,6.71,28127.0
wq-vol-regime,60m,,,,43,24,27,-3,62.8,25.47,20020.0
wq-vol-regime,60m,,,,106,57,68,-11,64.2,53.97,45408.0
wq-vol-regime,60m,,,,10,6,2,4,20.0,-8.61,-11403.0
wq-vol-regime,60m,,,,12,7,3,4,25.0,-2.61,6567.0
wq-vol-regime,60m,,,,16,10,6,4,37.5,4.74,1779.0
wq-vol-regime,60m,,,,36,22,20,2,55.6,21.77,33660.0
wq-vol-regime,60m,,,,110,59,52,7,47.3,27.1,13791.0
wq-vol-regime,60m,,,,0,0,0,0,0.0,0.0,0.0
wq-vol-regime,60m,,,,2,1,1,0,50.0,6.0,44481.0
